cliente_id,nombre,apellido,email,genero,fecha_registro,region,pais,edad,ingreso_mensual,activo
1,Felipe,Díaz,felipe.díaz1@mail.cl,M,2025-01-21,RM,Chile,56.0,637337.0,True
2,Felipe,Morales,felipe.morales2@mail.cl,M,2025-06-01,Antofagasta,Chile,20.0,829365.0,True
3,María,Silva,maría.silva3@mail.cl,F,,Araucanía,Chile,50.0,684779.0,False
4,Valentina,Flores,valentina.flores4@mail.cl,F,2025-06-19,RM,Chile,45.0,1027035.0,False
5,Josefa,Espinoza,josefa.espinoza5@mail.cl,F,2025-02-24,Biobío,Chile,69.0,1055839.0,True
6,Pedro,Pérez,pedro.pérez6@mail.cl,M,2025-10-01,Valparaíso,Chile,21.0,1819512.0,False
7,Constanza,Muñoz,constanza.muñoz7@mail.cl,F,2025-12-06,RM,Chile,45.0,1406606.0,False
8,Felipe,Araya,felipe.araya8@mail.cl,M,2025-03-22,Biobío,Chile,53.0,960337.0,False
9,Camila,Muñoz,camila.muñoz9@mail.cl,F,2025-11-06,Coquimbo,Chile,44.5,1987550.0,False
10,Francisca,Araya,francisca.araya10@mail.cl,F,2026-01-31,RM,Chile,44.5,2084398.0,False
11,Constanza,Santelices,constanza.santelices11@mail.cl,F,2025-07-27,RM,Chile,62.0,2015857.0,True
12,Diego,Silva,diego.silva12@mail.cl,F,2025-02-10,Araucanía,Chile,46.0,2386222.0,True
13,Juan,Martínez,juan.martínez13@mail.cl,M,2025-05-16,Coquimbo,Chile,41.0,2252126.0,True
14,Pedro,González,pedro.gonzález14@mail.cl,F,2025-09-18,Valparaíso,Chile,59.0,788998.0,False
15,Sebastián,Araya,sebastián.araya15@mail.cl,M,2025-02-02,Antofagasta,Chile,65.0,1413910.0,True
16,Constanza,Silva,constanza.silva16@mail.cl,M,2025-02-04,Valparaíso,Chile,18.0,991234.0,True
17,Josefa,Espinoza,josefa.espinoza17@mail.cl,M,2025-09-12,Biobío,Chile,31.0,1115270.0,True
18,Sebastián,Valenzuela,sebastián.valenzuela18@mail.cl,M,2025-06-28,RM,Chile,49.0,1272838.0,True
19,Camila,Flores,camila.flores19@mail.cl,F,2025-08-19,Valparaíso,Chile,62.0,1746862.0,True
20,Rodrigo,Díaz,rodrigo.díaz20@mail.cl,M,2025-03-27,RM,Chile,45.0,543585.0,False
21,Rodrigo,Espinoza,rodrigo.espinoza21@mail.cl,M,2025-04-18,RM,Chile,61.0,525939.0,False
22,Constanza,Morales,constanza.morales22@mail.cl,F,2026-02-08,Biobío,Chile,50.0,1185440.0,True
23,Andrés,Espinoza,andrés.espinoza23@mail.cl,M,2026-02-08,Biobío,Chile,23.0,521959.0,True
24,Sebastián,Espinoza,sebastián.espinoza24@mail.cl,M,2025-06-01,Valparaíso,Chile,32.0,1884250.0,False
25,Catalina,Silva,catalina.silva25@mail.cl,M,2025-02-21,Coquimbo,Chile,29.0,1863453.0,True
26,María,Rodriguez,maría.rodriguez26@mail.cl,M,2026-02-18,RM,Chile,19.0,1520545.0,False
27,Valentina,Santelices,valentina.santelices27@mail.cl,M,2025-05-06,RM,Chile,19.0,1242452.0,False
28,Francisca,Soto,francisca.soto28@mail.cl,F,2025-07-03,Coquimbo,Chile,34.0,1311774.0,False
29,Daniela,Pérez,daniela.pérez29@mail.cl,F,2025-08-28,Araucanía,Chile,33.0,1966976.0,True
30,Carolina,Morales,carolina.morales30@mail.cl,F,2026-02-05,Valparaíso,Chile,36.0,1410681.0,True
