cliente_id,nombre,apellido,email,genero,fecha_registro,region,pais,edad,ingreso_mensual,activo,dias_desde_registro,segmento_ingreso,nombre_completo,ingreso_normalizado,grupo_etario
1,Felipe,Díaz,felipe.díaz1@mail.cl,M,2025-01-21,RM,Chile,56,637337,True,375.0,Bajo,Felipe Díaz,0.0674,Senior (+50)
2,Felipe,Morales,felipe.morales2@mail.cl,M,2025-06-01,Antofagasta,Chile,20,829365,True,244.0,Medio,Felipe Morales,0.1639,Joven (18-25)
3,María,Silva,maría.silva3@mail.cl,F,,Araucanía,Chile,50,684779,False,,Bajo,María Silva,0.0912,Adulto (36-50)
4,Valentina,Flores,valentina.flores4@mail.cl,F,2025-06-19,RM,Chile,45,1027035,False,226.0,Medio,Valentina Flores,0.2632,Adulto (36-50)
5,Josefa,Espinoza,josefa.espinoza5@mail.cl,F,2025-02-24,Biobío,Chile,69,1055839,True,341.0,Medio,Josefa Espinoza,0.2776,Senior (+50)
6,Pedro,Pérez,pedro.pérez6@mail.cl,M,2025-10-01,Valparaíso,Chile,21,1819512,False,122.0,Alto,Pedro Pérez,0.6613,Joven (18-25)
7,Constanza,Muñoz,constanza.muñoz7@mail.cl,F,2025-12-06,RM,Chile,45,1406606,False,56.0,Medio,Constanza Muñoz,0.4539,Adulto (36-50)
8,Felipe,Araya,felipe.araya8@mail.cl,M,2025-03-22,Biobío,Chile,53,960337,False,315.0,Medio,Felipe Araya,0.2297,Senior (+50)
9,Camila,Muñoz,camila.muñoz9@mail.cl,F,2025-11-06,Coquimbo,Chile,44,1987550,False,86.0,Alto,Camila Muñoz,0.7457,Adulto (36-50)
10,Francisca,Araya,francisca.araya10@mail.cl,F,2026-01-31,RM,Chile,44,2084398,False,0.0,Alto,Francisca Araya,0.7944,Adulto (36-50)
11,Constanza,Santelices,constanza.santelices11@mail.cl,F,2025-07-27,RM,Chile,62,2015857,True,188.0,Alto,Constanza Santelices,0.7599,Senior (+50)
12,Diego,Silva,diego.silva12@mail.cl,F,2025-02-10,Araucanía,Chile,46,2386222,True,355.0,Alto,Diego Silva,0.946,Adulto (36-50)
13,Juan,Martínez,juan.martínez13@mail.cl,M,2025-05-16,Coquimbo,Chile,41,2252126,True,260.0,Alto,Juan Martínez,0.8786,Adulto (36-50)
14,Pedro,González,pedro.gonzález14@mail.cl,F,2025-09-18,Valparaíso,Chile,59,788998,False,135.0,Bajo,Pedro González,0.1436,Senior (+50)
15,Sebastián,Araya,sebastián.araya15@mail.cl,M,2025-02-02,Antofagasta,Chile,65,1413910,True,363.0,Medio,Sebastián Araya,0.4575,Senior (+50)
16,Constanza,Silva,constanza.silva16@mail.cl,M,2025-02-04,Valparaíso,Chile,18,991234,True,361.0,Medio,Constanza Silva,0.2452,Joven (18-25)
17,Josefa,Espinoza,josefa.espinoza17@mail.cl,M,2025-09-12,Biobío,Chile,31,1115270,True,141.0,Medio,Josefa Espinoza,0.3075,Adulto Joven (26-35)
18,Sebastián,Valenzuela,sebastián.valenzuela18@mail.cl,M,2025-06-28,RM,Chile,49,1272838,True,217.0,Medio,Sebastián Valenzuela,0.3867,Adulto (36-50)
19,Camila,Flores,camila.flores19@mail.cl,F,2025-08-19,Valparaíso,Chile,62,1746862,True,165.0,Alto,Camila Flores,0.6248,Senior (+50)
20,Rodrigo,Díaz,rodrigo.díaz20@mail.cl,M,2025-03-27,RM,Chile,45,543585,False,310.0,Bajo,Rodrigo Díaz,0.0203,Adulto (36-50)
21,Rodrigo,Espinoza,rodrigo.espinoza21@mail.cl,M,2025-04-18,RM,Chile,61,525939,False,288.0,Bajo,Rodrigo Espinoza,0.0114,Senior (+50)
22,Constanza,Morales,constanza.morales22@mail.cl,F,2026-02-08,Biobío,Chile,50,1185440,True,-8.0,Medio,Constanza Morales,0.3428,Adulto (36-50)
23,Andrés,Espinoza,andrés.espinoza23@mail.cl,M,2026-02-08,Biobío,Chile,23,521959,True,-8.0,Bajo,Andrés Espinoza,0.0094,Joven (18-25)
24,Sebastián,Espinoza,sebastián.espinoza24@mail.cl,M,2025-06-01,Valparaíso,Chile,32,1884250,False,244.0,Alto,Sebastián Espinoza,0.6938,Adulto Joven (26-35)
25,Catalina,Silva,catalina.silva25@mail.cl,M,2025-02-21,Coquimbo,Chile,29,1863453,True,344.0,Alto,Catalina Silva,0.6834,Adulto Joven (26-35)
26,María,Rodriguez,maría.rodriguez26@mail.cl,M,2026-02-18,RM,Chile,19,1520545,False,-18.0,Alto,María Rodriguez,0.5111,Joven (18-25)
27,Valentina,Santelices,valentina.santelices27@mail.cl,M,2025-05-06,RM,Chile,19,1242452,False,270.0,Medio,Valentina Santelices,0.3714,Joven (18-25)
28,Francisca,Soto,francisca.soto28@mail.cl,F,2025-07-03,Coquimbo,Chile,34,1311774,False,212.0,Medio,Francisca Soto,0.4062,Adulto Joven (26-35)
29,Daniela,Pérez,daniela.pérez29@mail.cl,F,2025-08-28,Araucanía,Chile,33,1966976,True,156.0,Alto,Daniela Pérez,0.7354,Adulto Joven (26-35)
30,Carolina,Morales,carolina.morales30@mail.cl,F,2026-02-05,Valparaíso,Chile,36,1410681,True,-5.0,Medio,Carolina Morales,0.4559,Adulto (36-50)
31,Josefa,Rodriguez,josefa.rodriguez31@mail.cl,F,2025-05-08,Valparaíso,Chile,56,1387121,False,268.0,Medio,Josefa Rodriguez,0.4441,Senior (+50)
32,Juan,Morales,juan.morales32@mail.cl,F,2025-10-25,Valparaíso,Chile,52,647718,False,98.0,Bajo,Juan Morales,0.0726,Senior (+50)
33,Catalina,López,catalina.lópez33@mail.cl,F,2025-01-02,Coquimbo,Chile,18,1914447,False,394.0,Alto,Catalina López,0.709,Joven (18-25)
34,Carolina,Pérez,carolina.pérez34@mail.cl,M,2025-08-21,Antofagasta,Chile,52,1198002,False,163.0,Medio,Carolina Pérez,0.3491,Senior (+50)
35,Catalina,Rodriguez,catalina.rodriguez35@mail.cl,F,2025-04-26,Antofagasta,Chile,28,878480,False,280.0,Medio,Catalina Rodriguez,0.1885,Adulto Joven (26-35)
36,Camila,Soto,camila.soto36@mail.cl,F,,Valparaíso,Chile,52,633272,True,,Bajo,Camila Soto,0.0654,Senior (+50)
37,María,Espinoza,maría.espinoza37@mail.cl,F,2025-06-18,Coquimbo,Chile,53,1638848,False,227.0,Alto,María Espinoza,0.5705,Senior (+50)
38,Juan,Espinoza,juan.espinoza38@mail.cl,M,2025-05-15,RM,Chile,20,2159280,False,261.0,Alto,Juan Espinoza,0.832,Joven (18-25)
39,Juan,Araya,juan.araya39@mail.cl,M,2025-08-26,RM,Chile,47,2021701,False,158.0,Alto,Juan Araya,0.7629,Adulto (36-50)
40,Rodrigo,Rodriguez,rodrigo.rodriguez40@mail.cl,F,2025-10-04,Antofagasta,Chile,47,860032,False,119.0,Medio,Rodrigo Rodriguez,0.1793,Adulto (36-50)
41,Josefa,González,josefa.gonzález41@mail.cl,M,2025-01-04,RM,Chile,52,2444624,False,392.0,Alto,Josefa González,0.9754,Senior (+50)
42,Juan,Araya,juan.araya42@mail.cl,F,2025-01-06,Coquimbo,Chile,52,1187995,True,390.0,Medio,Juan Araya,0.344,Senior (+50)
43,Diego,Silva,diego.silva43@mail.cl,M,2026-02-04,Coquimbo,Chile,50,1148307,True,-4.0,Medio,Diego Silva,0.3241,Adulto (36-50)
44,Rodrigo,Pérez,rodrigo.pérez44@mail.cl,F,2025-05-08,Antofagasta,Chile,35,1189944,False,268.0,Medio,Rodrigo Pérez,0.345,Adulto Joven (26-35)
45,Josefa,Soto,josefa.soto45@mail.cl,F,2025-04-24,Araucanía,Chile,49,1552590,False,282.0,Alto,Josefa Soto,0.5272,Adulto (36-50)
46,Felipe,Muñoz,felipe.muñoz46@mail.cl,M,2026-01-17,Coquimbo,Chile,57,1523904,True,14.0,Alto,Felipe Muñoz,0.5128,Senior (+50)
47,Andrés,Soto,andrés.soto47@mail.cl,F,2025-01-26,Coquimbo,Chile,52,1992785,True,370.0,Alto,Andrés Soto,0.7484,Senior (+50)
48,Daniela,Flores,daniela.flores48@mail.cl,F,2025-06-22,Coquimbo,Chile,44,764512,False,223.0,Bajo,Daniela Flores,0.1313,Adulto (36-50)
49,Catalina,Espinoza,catalina.espinoza49@mail.cl,F,2026-01-15,RM,Chile,45,1580673,False,16.0,Alto,Catalina Espinoza,0.5413,Adulto (36-50)
50,Catalina,Santelices,catalina.santelices50@mail.cl,M,2025-03-04,RM,Chile,39,555609,False,333.0,Bajo,Catalina Santelices,0.0263,Adulto (36-50)
51,Valentina,González,valentina.gonzález51@mail.cl,F,2025-04-11,RM,Chile,50,1464163,True,295.0,Medio,Valentina González,0.4828,Adulto (36-50)
52,Carolina,Araya,carolina.araya52@mail.cl,F,2025-12-16,Valparaíso,Chile,64,1760386,True,46.0,Alto,Carolina Araya,0.6316,Senior (+50)
53,Daniela,Díaz,daniela.díaz53@mail.cl,F,2025-06-07,Araucanía,Chile,36,1635248,False,238.0,Alto,Daniela Díaz,0.5687,Adulto (36-50)
54,Josefa,Rodriguez,josefa.rodriguez54@mail.cl,F,2025-04-27,Valparaíso,Chile,40,894366,True,279.0,Medio,Josefa Rodriguez,0.1965,Adulto (36-50)
55,Carolina,Pérez,carolina.pérez55@mail.cl,M,2025-10-17,RM,Chile,49,2211741,False,106.0,Alto,Carolina Pérez,0.8584,Adulto (36-50)
56,Catalina,Martínez,catalina.martínez56@mail.cl,F,2025-07-08,Araucanía,Chile,56,2102239,True,207.0,Alto,Catalina Martínez,0.8033,Senior (+50)
57,Diego,Soto,diego.soto57@mail.cl,M,2025-05-24,Coquimbo,Chile,68,644356,False,252.0,Bajo,Diego Soto,0.0709,Senior (+50)
58,Sebastián,Flores,sebastián.flores58@mail.cl,F,2025-04-04,RM,Chile,63,578781,False,302.0,Bajo,Sebastián Flores,0.038,Senior (+50)
